Name,Price,Rating
Sauvignon Blanc 2019,5.5,3.7
Freundstück GG 2017,28.24,4.1
Riesling 2019,10.3,3.6
The Vine in Flames Fetească Regală Dry 2018,9.9,3.5
Graacher Himmelreich Riesling Auslese 2016,32.65,4.1
Pinot Grigio 2019,16.85,3.8
Höllberg Riesling GG 2017,37.56,4.0
Riesling 2017,37.0,3.5
Kirchberg 2017,24.0,3.8
Geheimrat J Riesling Spätlese Trocken 2015,24.9,4.1
Merus Sauvignon Blanc 2019,9.99,4.1
Forster Ungeheuer Riesling 2018,35.0,4.3
Bourgogne Hautes Côtes de Beaune Blanc 2007,25.0,3.4
Sommer Riesling Trocken 2019,7.9,3.8
Lagar de Darei Branco 2017,8.77,3.7
Chenin Blanc 2018,8.9,3.6
Lugana Blanc 2019,10.57,3.9
Bèru 2015,34.9,3.9
Cà del Lago Lugana 2019,9.83,4.0
Weissburgunder Trocken 2019,8.5,3.8
Hard 2017,26.5,4.3
Gewürztraminer 2019,9.73,3.8
RS Grauburgunder 2017,15.5,3.9
Lugana 2019,11.9,4.1
Würzburger Stein Silvaner GG 2016,29.9,4.0
Grüner Silvaner Trocken 2018,8.07,3.6
Chardonnay 2018,15.9,3.5
Blanco 2019,5.71,3.4
Garganega - Chardonnay delle Venezie Cuvée 2018,4.38,3.4
7 Terroirs 2019,11.6,3.8
Bianco Passivento 2019,8.32,3.9
Weissburgunder Trocken 2017,9.72,3.4
Faius 2016,15.69,3.9
Paradies Riesling 2018,22.7,4.1
Bernkasteler Badstube Riesling Kabinett Feinherb 2015,16.95,3.9
Reserva Chardonnay 2016,13.65,3.8
Collage Grauer Burgunder 2018,9.46,3.9
Franciscus Grüner Veltliner 2016,10.23,3.2
Ungeheuer Riesling GG 2018,34.12,4.2
Riesling Federspiel Himmelstiege 2019,9.85,3.4
Kastanienbusch GG 2018,66.31,4.2
Limne 2019,9.11,3.7
Riesling 2017,27.78,3.9
Grüner Veltliner 2019,9.44,3.9
Chardonnay 2018,6.73,3.7
Verdicchio Dei Castelli Di Jesi Classico Le Vele 2019,6.32,3.7
Chinon Blanc 2017,27.29,4.2
Rotenberg GG 2016,29.5,4.0
Chardonnay 2017,6.73,3.2
Diel de Diel Weisses Cuvée Trocken 2017,11.95,3.6
Vermentino (Etichetta Nera/Black Label) 2019,19.45,4.0
Riesling Alsace Grand Cru 'Geisberg' 2012,53.35,4.4
Sankt Nikolaus Riesling Trocken 2017,42.89,4.3
Nachts Sind Alle Burgunder Grau 2019,7.9,4.2
Sauvignon Blanc 2018,7.79,3.0
Chardonnay 2019,7.99,3.5
Neuland Grüner Veltliner 2019,8.24,3.7
Grauburgunder 2019,7.73,3.9
Sauvignon Stern 2018,12.18,3.9
Les Chays Condrieu 2015,41.43,4.0
Weissburgunder Trocken 2018,7.64,3.8
Saumur Blanc 2018,11.16,3.7
Cellar Selection Chenin Blanc 2019,7.5,3.8
Pinot Grigio 2019,10.96,3.7
Hipping Riesling 2015,45.0,4.3
Grauburgunder Trocken 2018,12.57,3.6
Sciare di Est Insolia 2017,7.42,3.6
Bourgogne Aligoté 2018,12.6,3.5
Le Chardonnay Limoux Blanc 2014,37.82,3.8
Vernaccia di San Gimignano 2018,8.5,3.5
Aulerde Riesling GG 2018,36.0,4.1
Maximin Herrenberg 1896 Riesling Alte Reben 2014,47.99,3.9
Berger Baron Bordeaux Blanc 2017,8.72,3.1
Trittenheimer Apotheke Riesling Trocken 2018,25.83,4.0
Pian di Rèmole Bianco 2018,6.95,3.6
Bouquet Terre Siciliane 2018,10.57,3.6
Chardonnay 2018,13.47,3.8
Cococciola (Unico) 2019,8.9,3.8
Ried Loibenberg Riesling Smaragd 2018,40.19,4.3
Riesling Feinherb 2018,9.5,3.5
Meursault-Genevrières Premier Cru 2013,95.36,4.0
Niederberg Helden Riesling Kabinett 2018,17.1,3.9
Sonnenberg Chardonnay Trocken 2018,17.5,4.0
Pinot Grigio Veneto 2019,5.29,3.4
Oestricher Doosberg Alte Reben Riesling Trocken 2017,16.9,3.9
Poggio Al Tufo Vermentino 2018,15.05,3.4
Kaisermantel Weissburgunder 2019,6.25,4.1
Uvam Pinot Grigio 2019,5.25,3.7
Kalkundkiesel 2019,16.08,3.9
Riverpoint Vineyard Gewürztraminer 2014,17.45,3.9
Langenmorgen G.C 2014,70.0,4.1
Côtes du Rhône Le Caillou Blanc 2017,10.9,3.4
Sauvignon Blanc (Warrelwind) 2019,5.49,3.6
Fundament Riesling Trocken 2017,8.56,3.2
Viognier 2017,15.98,3.4
Parapli Chardonnay 2015,13.6,3.7
Benedete Ribolla Gialla 2018,13.6,3.5
Königsbacher Ölberg Riesling 2018,25.35,3.6
Cuvée Bérengère Chardonnay - Viognier 2018,6.12,3.5
Chardonnay 2017,8.78,3.4
GG Kirchberg Weissburgunder 2015,35.0,4.3
Clos Boucher Condrieu 2017,58.39,4.1
Chiara 2018,10.47,3.6
Lahrer Grauburgunder 2018,10.46,3.6
Pecorino Terre di Chieti 2019,8.9,4.0
Niederberg Helden Riesling GG 2017,26.5,3.8
Steingrüble 2017,13.95,4.1
Zeltinger Riesling Kabinett Trocken 2018,13.95,3.8
Piesporter Riesling Feinherb 2017,8.72,4.0
Live Wire Riesling 2018,11.06,4.0
Marani 2018,8.39,3.8
Sallier de La Tour Grillo 2019,8.9,3.9
Auxerrois 2018,12.8,3.6
Blanco 2018,5.9,3.5
Chardonnay 2018,7.5,3.0
Escherndorfer Riesling 2018,12.5,3.4
Chenin Blanc 2018,7.5,3.4
Weißburgunder Muschelkalk 2018,15.01,3.9
ReinSchiefer Nierstein Riesling 2017,20.53,3.6
Edición Limitada Lías Verdejo 2017,13.01,3.6
Schellenbrunnen Riesling GG 2014,30.39,3.9
Halgans Riesling Trocken 2018,20.84,4.1
Saarburger Rausch Spätlese Riesling 2015,20.95,3.6
Sauvignon Riserva 2014,18.03,3.8
Sauvignon 2018,7.7,3.4
Deidesheimer Paradiesgarten 2017,21.0,4.1
Riesling 'D' 2016,21.45,3.8
Jesuitengarten Riesling GG 2017,43.77,4.0
Johannishof Riesling Trocken 2019,7.9,3.8
Sauvignon Blanc 2019,11.9,3.9
Chardonnay 2018,6.95,3.5
Sauvignon Blanc 500 2018,40.0,4.3
Réserve Spéciale Sauvignon Blanc 2019,8.32,3.9
Terravignata Verdicchio di Matelica 2018,11.35,3.4
Lugana Lago 2019,6.9,3.4
Bourgogne Blanc 2014,23.29,3.8
Lorch Riesling 2016,16.5,4.0
Pouilly-Fuissé Pentacrine 2016,24.08,4.0
Passerina (Unico) 2019,9.5,3.9
Pinot Grigio 2019,4.94,3.7
Niederhäuser Hermannshöhle Riesling Spätlese 2018,29.9,4.1
Steinreich Riesling 2017,14.14,3.9
Clisson 2017,17.06,3.5
Châteauneuf-du-Pape Blanc 2017,66.0,3.8
Chardonnay Riserva 2013,18.5,3.9
Grauburgunder Trocken 2018,6.5,3.8
Châteauneuf-du-Pape Blanc 2018,28.18,3.9
Weissburgunder 2018,9.26,3.5
Ungeheuer GG 2018,34.0,4.3
Grauburgunder 2018,9.9,3.9
Cantaloro Toscana Bianco 2018,9.65,3.6
Steillage Riesling Trocken 2017,9.53,3.6
Fiano Salento 2018,8.9,3.8
Riebeeksrivier Chenin Blanc 2017,13.99,3.6
Contraste Branco 2017,9.9,3.5
Furmint 2017,13.24,3.7
Chardonnay 2018,7.35,3.4
Gorgona 2014,213.4,4.3
Chardonnay 2017,6.23,3.5
Premium Sauvignon Blanc 2019,10.95,3.9
Beaune 1er Cru Grèves Blanc 2011,48.43,4.3
Chablis 1er Cru 'Vaillons' 2015,23.9,3.6
Côtes de Provence Blanc 2018,14.4,3.6
Clos Saint Landelin Riesling 2016,29.15,4.0
Weisser Burgunder Tradition 2017,11.19,3.5
Nuat 2015,23.3,4.1
Perfiles Calcareo Chardonnay 2016,15.9,3.5
Vom Gelben Fels Riesling Trocken 2018,8.4,3.9
Weissburgunder Löss Trocken 2018,7.95,3.6
Gamlitzer Morillon 2017,15.89,3.6
Albariño 2019,11.95,4.1
Niedermenniger Herrenberg Riesling Auslese 2010,39.95,4.0
Chardonnay 2018,11.45,3.5
Josef Spreitzer Riesling Trocken 2018,8.9,3.5
Illusion Eins (Blanc de Noir) 2019,13.48,4.0
Riesling Kabinett Trocken 2018,7.8,3.8
Novel Pacherenc du Vic-Bilh Sec 2017,13.25,3.8
Gelber Orléans Trocken 2017,17.0,4.0
Weissburgunder 2019,9.12,3.8
St. Stephan Réserve Chardonnay Trocken 2015,19.01,3.7
Chardonnay Bourgogne 2017,15.5,3.5
Wehlener Sonnenuhr Riesling Spätlese 2017,19.45,4.0
Estate Sauvignon Blanc 2019,11.7,3.7
Doosberg Riesling Trocken 2017,49.0,4.1
Languedoc Blanc 2017,16.9,3.6
Chardonnay - Torrontés 2019,7.2,3.5
Saint-Aubin 1er Cru 'Les Charmois' 2015,64.0,4.2
Meursault Blanc 2016,48.09,3.9
Aufwind Sauvignon Blanc 2019,9.9,3.9
Sancerre Blanc 2018,27.2,3.9
Loiserberg Grüner Veltliner 2016,16.11,3.9
Trarbacher Schlossberg Riesling Kabinett 2018,15.0,4.2
Broquel Chardonnay 2017,10.5,3.4
Pinot Grigio 2017,9.99,3.4
Wicker Nonnberg Riesling Trocken 2018,13.84,4.0
Benefizio Riserva Pomino Bianco 2018,26.18,3.9
Meursault 2016,46.21,4.2
Riesling Trocken 2019,10.1,3.6
Haardt Weissburgunder 2017,12.58,3.8
Riesling Kabinett Feinherb 2018,12.9,3.8
Chardonnay 2018,5.95,3.5
Quater Vitis Blanco 2018,13.89,4.1
Sommeracher Katzenkopf Silvaner Trocken 2014,6.77,3.6
Pouilly-Fuissé 2016,56.83,4.1
Antu Chardonnay 2016,11.9,3.6
Schlossberg Achkarren GG Grauburgunder 2017,35.0,4.1
Elgin Chardonnay 2018,32.99,4.3
Blanc 2016,35.58,4.1
Bianco 2018,3.79,3.7
Château Les Vergnes Bordeaux White 2018,6.78,3.3
Virtus Moscato 2016,6.77,2.8
Riesling Eisquell 2019,10.74,3.5
Chante-Alouette Hermitage Blanc 1999,55.95,3.4
Viognier 2017,12.59,3.6
Gelber Muskateller 2017,12.6,3.4
Gaisböhl G.C 2017,44.91,3.8
Blanco 2015,4.0,3.5
Pouilly-Fuissé L'Ancien Prieuré 2015,43.16,3.7
Grecante Grechetto Colli Martani 2019,12.6,3.8
Wiltinger Riesling Trocken 2018,12.67,4.0
Châteauneuf-du-Pape (Tradition) Blanc 2018,49.9,4.1
Pinot Blanc 2016,7.59,3.7
Sancerre Blanc 2018,18.31,3.8
Mont Mès Cuvée Bianco 2018,7.5,3.6
Bitácora Verdejo 2019,4.28,3.9
Zieregg Morillon 2017,48.06,4.1
Riesling Feinherb 2018,12.39,3.6
Sanct Valentin Sauvignon 2019,20.9,4.1
Eins Zu Eins Sauvignon Blanc 2019,7.09,4.1
Weisser Burgunder vom Kalksteinfels 2018,13.13,3.8
Pomino Bianco 2019,9.61,3.5
Cavalcade Blanc 2018,12.14,4.1
Saarburger Rausch Auslese Riesling ** 2015,44.95,4.2
Scharzhofberger Riesling Spätlese 2011,30.78,4.1
Zöbing Riesling 2018,12.87,3.9
Pinot Bianco 2018,9.9,3.6
Basilicata Greco - Fiano 2017,8.77,3.9
Cuvée Verdejo 2016,18.7,4.2
Estro Chardonnay 2018,9.99,3.7
Vom Muschelkalk Appenheimer Riesling Trocken 2018,10.0,3.7
Orbel Riesling 2017,18.9,3.8
Meursault 1er Cru Les Genevrières 2017,119.0,4.1
Pinot Grigio 2019,4.82,3.6
Derthona Timorasso Colli Tortonesi 2018,25.9,3.8
Weisser Burgunder Trocken 2015,11.11,3.7
Chardonnay 2018,5.55,3.5
Riesling 2017,8.4,3.5
Campomaccione Vermentino Maremma Toscana 2019,8.4,4.0
Grüner Veltliner Waldberg 2018,8.75,3.6
Tresolmos Lias Verdejo 2019,8.84,4.0
Seven Numbers Single Vineyard Furmint 2018,10.66,3.7
Plansel Selecta Verdelho 2017,8.9,3.8
Camilla 2019,11.4,4.2
Felsenberg Riesling GG 2016,39.36,4.3
Pinot Gris 2016,13.9,3.4
Les Genêts 2016,14.9,3.7
Op die Berg Chardonnay 2014,26.69,4.1
Mantele Sauvignon 2018,16.47,3.9
Pur Mineral Riesling 2017,14.0,3.8
Friulano 2019,18.9,3.9
Château de la Chesnaie Sur Lie 2017,8.24,3.8
Maximin Herrenberg 1896 Riesling Alte Reben 2018,22.23,4.1
Weisser Burgunder Trocken 2018,8.2,3.7
Spiegel Sauvignon Blanc 2017,11.59,3.2
Sauvignon Côtes de Gascogne 2019,5.9,3.7
Blauschiefer Riesling 2018,9.6,3.8
Heideboden Pinot Blanc 2018,8.89,3.5
Summercourt Chardonnay 2019,12.5,3.9
Oppenheimer Sackträger Riesling 2017,10.23,4.1
Chablis 2018,16.5,3.6
Quant Riesling 2019,7.5,3.9
Op Sy Moer 2018,27.06,3.1
Chardonnay 2017,7.95,3.5
Weissburgunder Trocken 2018,10.93,3.6
Chardonnay 2019,5.34,3.0
Sauvignon Touraine 2018,7.95,3.8
Viognier 2018,21.99,3.7
Rajnai Rizling 2017,11.95,4.1
Chardonnay 2018,8.27,3.7
Petit Chablis 2018,11.99,3.6
Soave 2018,5.79,3.5
Mineral Chardonnay 2016,40.28,4.0
Heideboden Weiss 2018,9.72,3.6
Caroline 2016,29.15,3.9
Hipping Riesling 2016,43.77,3.8
Scharzhofberger Riesling Kabinett 2016,11.18,3.8
Riesling Trocken 2018,9.7,3.6
Blauschiefer Trocken 2018,9.69,4.0
Damaszener Sauvignon Blanc 2019,11.0,3.9
Sauvignon Blanc 2019,10.95,3.8
Rully 2016,21.95,3.6
Scharzhofberger Riesling Spätlese 2016,134.53,4.4
Escherndorfer Lump Silvaner 2018,16.0,3.9
Splattered Toad Sauvignon Blanc 2018,9.95,3.3
Oktav Weissburgunder 2018,10.67,3.7
Sauvignon Blanc 2016,8.9,3.5
Wehlener Sonnenuhr Alte Reben Riesling 2015,11.65,4.0
Pioneer Block 1 Foundation Sauvignon Blanc 2019,18.95,4.3
Gris 2007,48.43,3.9
